bus,generator,t,p_mw,lmp
London,Lon_nuclear,0,-0.0,7.464912280702716
London,Lon_gas,0,-0.0,7.464912280702716
London,Lon_nuclear,1,-0.0,7.464912280702716
London,Lon_gas,1,-0.0,7.464912280702716
London,Lon_nuclear,2,-0.0,7.319109461966554
London,Lon_gas,2,-0.0,7.319109461966554
London,Lon_nuclear,3,-0.0,7.319109461966554
London,Lon_gas,3,-0.0,7.319109461966554
London,Lon_nuclear,4,-0.0,7.319109461966554
London,Lon_gas,4,-0.0,7.319109461966554
London,Lon_nuclear,5,-0.0,7.464912280702716
London,Lon_gas,5,-0.0,7.464912280702716
London,Lon_nuclear,6,-0.0,10.0
London,Lon_gas,6,-0.0,10.0
London,Lon_nuclear,7,-0.0,10.0
London,Lon_gas,7,-0.0,10.0
London,Lon_nuclear,8,-0.0,12.547169811321993
London,Lon_gas,8,-0.0,12.547169811321993
London,Lon_nuclear,9,-0.0,12.547169811321993
London,Lon_gas,9,-0.0,12.547169811321993
London,Lon_nuclear,10,-0.0,11.689956331878538
London,Lon_gas,10,-0.0,11.689956331878538
London,Lon_nuclear,11,-0.0,12.547169811321993
London,Lon_gas,11,-0.0,12.547169811321993
London,Lon_nuclear,12,-0.0,12.547169811321993
London,Lon_gas,12,-0.0,12.547169811321993
London,Lon_nuclear,13,-0.0,12.547169811321993
London,Lon_gas,13,-0.0,12.547169811321993
London,Lon_nuclear,14,-0.0,12.547169811321993
London,Lon_gas,14,-0.0,12.547169811321993
London,Lon_nuclear,15,-0.0,12.547169811321993
London,Lon_gas,15,-0.0,12.547169811321993
London,Lon_nuclear,16,-0.0,12.547169811321993
London,Lon_gas,16,-0.0,12.547169811321993
London,Lon_nuclear,17,-0.0,11.689956331878538
London,Lon_gas,17,-0.0,11.689956331878538
London,Lon_nuclear,18,100.0,20.0
London,Lon_gas,18,-0.0,20.0
London,Lon_nuclear,19,-0.0,11.689956331878538
London,Lon_gas,19,-0.0,11.689956331878538
London,Lon_nuclear,20,-0.0,11.689956331878538
London,Lon_gas,20,-0.0,11.689956331878538
London,Lon_nuclear,21,-0.0,12.547169811321993
London,Lon_gas,21,-0.0,12.547169811321993
London,Lon_nuclear,22,-0.0,10.0
London,Lon_gas,22,-0.0,10.0
London,Lon_nuclear,23,-0.0,7.464912280702716
London,Lon_gas,23,-0.0,7.464912280702716
Paris,Par_nuclear,0,-0.0,7.464912280702716
Paris,Par_hydro,0,-0.0,7.464912280702716
Paris,Par_nuclear,1,-0.0,7.464912280702716
Paris,Par_hydro,1,-0.0,7.464912280702716
Paris,Par_nuclear,2,-0.0,7.319109461966554
Paris,Par_hydro,2,-0.0,7.319109461966554
Paris,Par_nuclear,3,-0.0,7.319109461966554
Paris,Par_hydro,3,-0.0,7.319109461966554
Paris,Par_nuclear,4,-0.0,7.319109461966554
Paris,Par_hydro,4,-0.0,7.319109461966554
Paris,Par_nuclear,5,-0.0,7.464912280702716
Paris,Par_hydro,5,-0.0,7.464912280702716
Paris,Par_nuclear,6,-0.0,10.0
Paris,Par_hydro,6,169.56747404881662,10.0
Paris,Par_nuclear,7,-0.0,10.0
