key,value
scenario_1,227219.84
scenario_2,235504.74
scenario_3,251455.89
scenario_4,225197.03
scenario_5,229701.76
scenario_6,258767.79
scenario_7,234786.50
scenario_8,243910.37
scenario_9,259925.45
scenario_10,249151.43
scenario_11,224979.71
scenario_12,235938.56
scenario_13,259274.64
scenario_14,245067.72
scenario_15,264649.15
scenario_16,236856.66
scenario_17,237878.55
scenario_18,249005.76
scenario_19,214144.86
scenario_20,226288.88
scenario_21,217987.84
scenario_22,230673.76
scenario_23,214458.60
scenario_24,247902.26
scenario_25,230670.89
scenario_26,221760.94
scenario_27,227595.79
scenario_28,222694.10
scenario_29,238363.25
scenario_30,220601.83
expected,236080.48
cvar90,261283.08
