case,variable,t,value
LOPF_uncon,P_G1,0,400.0
LOPF_uncon,P_G2,0,100.0
LOPF_uncon,LMP_Bus1,0,50.0
LOPF_uncon,LMP_Bus2,0,50.0
LOPF_uncon,LMP_Bus3,0,50.0
LOPF_uncon,cost,0,13000.0
LOPF_con,P_G1,0,300.0
LOPF_con,P_G2,0,200.0
LOPF_con,LMP_Bus1,0,20.0
LOPF_con,LMP_Bus2,0,50.0
LOPF_con,LMP_Bus3,0,80.0
LOPF_con,cost,0,16000.0
MP_t6,P_G1,0,252.0
MP_t6,P_G2,0,-0.0
MP_t6,SoC_Bat,0,66.666667
MP_t6,LMP_Bus1,0,20.0
MP_t6,LMP_Bus2,0,20.0
MP_t6,LMP_Bus3,0,20.0
MP_t6,P_G1,1,225.0
MP_t6,P_G2,1,-0.0
MP_t6,SoC_Bat,1,-0.0
MP_t6,LMP_Bus1,1,20.0
MP_t6,LMP_Bus2,1,20.0
MP_t6,LMP_Bus3,1,20.0
MP_t6,P_G1,2,275.0
MP_t6,P_G2,2,-0.0
MP_t6,SoC_Bat,2,-0.0
MP_t6,LMP_Bus1,2,20.0
MP_t6,LMP_Bus2,2,20.0
MP_t6,LMP_Bus3,2,20.0
MP_t6,P_G1,3,270.0
MP_t6,P_G2,3,-0.0
MP_t6,SoC_Bat,3,-0.0
MP_t6,LMP_Bus1,3,20.0
MP_t6,LMP_Bus2,3,20.0
MP_t6,LMP_Bus3,3,20.0
MP_t6,P_G1,4,275.0
MP_t6,P_G2,4,-0.0
MP_t6,SoC_Bat,4,-0.0
MP_t6,LMP_Bus1,4,20.0
MP_t6,LMP_Bus2,4,20.0
MP_t6,LMP_Bus3,4,20.0
MP_t6,P_G1,5,300.0
MP_t6,P_G2,5,-0.0
MP_t6,SoC_Bat,5,-0.0
MP_t6,LMP_Bus1,5,20.0
MP_t6,LMP_Bus2,5,20.0
MP_t6,LMP_Bus3,5,20.0
MP_t6,cost,0,31940.0
UC_t6,P_G1,0,210.0
UC_t6,P_G_peak,0,90.0
UC_t6,u_G_peak,0,1.0
UC_t6,P_G1,1,285.0
UC_t6,P_G_peak,1,0.0
UC_t6,u_G_peak,1,0.0
UC_t6,P_G1,2,275.0
UC_t6,P_G_peak,2,0.0
UC_t6,u_G_peak,2,0.0
UC_t6,P_G1,3,270.0
UC_t6,P_G_peak,3,0.0
UC_t6,u_G_peak,3,0.0
UC_t6,P_G1,4,275.0
UC_t6,P_G_peak,4,0.0
UC_t6,u_G_peak,4,0.0
UC_t6,P_G1,5,300.0
UC_t6,P_G_peak,5,0.0
UC_t6,u_G_peak,5,0.0
UC_t6,cost,0,36800.0
